state,district,lat,lon,elevation_meters,dist_to_coast_km,dist_to_major_river_km,avg_annual_rainfall_mm,seismic_zone,primary_hazard_type,risk_level
Andhra Pradesh,Alluri Sitharama Raju,12.947493,84.110157,27,16.07,13.57,1735,4,Heatwave,Medium
Andhra Pradesh,Alluri Sitharama Raju,12.956619,84.087493,19,4.29,21.96,2569,4,Cyclone,High
Andhra Pradesh,Alluri Sitharama Raju,12.949999,84.084921,72,1.05,6.69,2225,4,Low,Low
Andhra Pradesh,Alluri Sitharama Raju,12.955217,84.101119,86,34.03,13.16,2198,4,Cyclone,Medium
Andhra Pradesh,Alluri Sitharama Raju,12.948983,84.093152,59,1.64,7.47,2394,4,Low,Low
Andhra Pradesh,Alluri Sitharama Raju,12.931889,84.098905,13,63.47,22.0,3253,4,Low,Low
Andhra Pradesh,Alluri Sitharama Raju,12.946032,84.089853,76,7.24,22.13,3119,4,Flood,Medium
Andhra Pradesh,Alluri Sitharama Raju,12.94732,84.088882,3,2.35,2.92,1316,4,Cyclone,High
Andhra Pradesh,Alluri Sitharama Raju,12.942332,84.121804,25,14.11,6.35,2102,4,Cyclone,High
Andhra Pradesh,Alluri Sitharama Raju,12.944696,84.094219,78,12.6,4.88,2201,4,Cyclone,High
Andhra Pradesh,Anakapalli,13.339343,84.67557,41,5.95,8.47,1537,4,Flood,Medium
Andhra Pradesh,Anakapalli,13.322408,84.637026,29,6.46,64.92,1689,4,Heatwave,Medium
Andhra Pradesh,Anakapalli,13.32601,84.664357,24,3.1,20.68,2022,4,Flood,Medium
Andhra Pradesh,Anakapalli,13.33821,84.676412,4,3.93,37.99,2783,4,Flood,Medium
Andhra Pradesh,Anakapalli,13.314022,84.645234,52,19.03,12.63,3128,4,Flood,Medium
Andhra Pradesh,Anakapalli,13.313503,84.655379,60,16.05,153.8,1618,4,Heatwave,Medium
Andhra Pradesh,Anakapalli,13.324047,84.659672,98,1.83,19.08,2360,4,Low,Low
Andhra Pradesh,Anakapalli,13.333197,84.652588,8,14.72,4.77,1891,4,Heatwave,Medium
Andhra Pradesh,Anakapalli,13.340452,84.651958,28,4.12,64.54,2784,4,Flood,Medium
Andhra Pradesh,Anakapalli,13.329632,84.650707,10,5.08,12.82,1668,4,Flood,Medium
Andhra Pradesh,Ananthapuramu,18.440049,77.810852,11,3.16,52.85,3720,4,Heatwave,Medium
Andhra Pradesh,Ananthapuramu,18.457882,77.801514,5,18.45,5.35,1514,4,Flood,Medium
Andhra Pradesh,Ananthapuramu,18.450811,77.795173,62,14.08,26.87,2308,4,Flood,Medium
Andhra Pradesh,Ananthapuramu,18.440563,77.793847,103,3.68,2.34,1710,4,Flood,Medium
Andhra Pradesh,Ananthapuramu,18.445813,77.798242,75,11.24,7.94,2333,4,Heatwave,Medium
Andhra Pradesh,Ananthapuramu,18.45147,77.802985,71,24.05,4.95,1689,4,Heatwave,Medium
Andhra Pradesh,Ananthapuramu,18.439037,77.792245,35,0.44,13.59,2134,4,Low,Low
Andhra Pradesh,Ananthapuramu,18.453372,77.786002,65,0.72,4.27,1464,4,Cyclone,High
